,street,n_words,words
0,Auroranportti,7,"niin, opo, otto, piip, pop, tuut, utu"
1,Eino Leinon katu,10,"akka, ala, alla, ele, enne, niin, olo, otto, tuut, utu"
2,Hammarskjöldintie,16,"ajaja, akka, ala, alla, ele, enne, hah, heh, imaami, isi, niin, sadas, sammas, sees, siis, tööt"
3,Heikinniementie,3,"enne, heh, niin"
4,Humalistonkatu,16,"akka, ala, alla, hah, huh, imaami, isi, niin, oho, olo, otto, sammas, siis, sus, tuut, utu"
5,Humalistonkuja,17,"ajaja, akka, ala, alla, hah, huh, imaami, isi, niin, oho, olo, otto, sammas, siis, sus, tuut, utu"
6,Itäinen Pukkisaari,11,"akka, enne, isi, niin, piip, sees, siis, sus, tuut, utu, ässä"
7,Johannesbergintie,10,"ajaja, enne, hah, heh, isi, niin, oho, otto, sees, siis"
8,Kajanuksenkatu,7,"ajaja, akka, enne, sees, sus, tuut, utu"
9,Kesärannantie,7,"akka, enne, isi, niin, sees, siis, ässä"
10,Lastenlinnantie,8,"ala, alla, ele, enne, isi, niin, sees, siis"
11,Linnankoskenkatu,14,"akka, ala, alla, ele, enne, isi, niin, olo, otto, sees, siis, sus, tuut, utu"
12,Lääkärinkatu,7,"akka, ala, alla, niin, tuut, utu, älä"
13,Mannerheimintie,5,"enne, hah, heh, imaami, niin"
14,Mechelininkatu,12,"akka, ala, alla, ele, enne, hah, heh, huh, imaami, niin, tuut, utu"
15,Meilahdentie,8,"ala, alla, ele, enne, hah, heh, imaami, niin"
16,Merikannontie,5,"akka, enne, imaami, niin, otto"
17,Messeniuksenkatu,11,"akka, enne, imaami, isi, niin, sammas, sees, siis, sus, tuut, utu"
18,Mikael Lybeckin katu,11,"akka, ala, alla, ele, enne, imaami, niin, tuut, tyyt, utu, yty"
19,Minna Canthin katu,7,"akka, hah, huh, imaami, niin, tuut, utu"
20,Missisipinraitti,6,"imaami, isi, niin, piip, sammas, siis"
21,Mäntymäentie,5,"enne, niin, tyyt, yty, ämmä"
22,Mäntyniementie,5,"enne, niin, tyyt, yty, ämmä"
23,Nordenskiöldinkatu,16,"akka, ala, alla, ele, enne, isi, niin, olo, otto, sadas, sees, siis, sus, tuut, tööt, utu"
24,Nordenskiöldinpolku,11,"ele, enne, isi, niin, olo, opo, piip, pop, sees, siis, sus"
25,Oksakoskenpolku,10,"akka, ala, alla, ele, enne, olo, opo, pop, sees, sus"
26,Paasikivenkatu,10,"akka, enne, isi, niin, piip, sees, siis, sus, tuut, utu"
27,Paavo Nurmen kuja,5,"ajaja, akka, enne, opo, pop"
28,Paavo Nurmen tie,9,"enne, imaami, niin, opo, otto, piip, pop, tuut, utu"
29,Paciuksenkatu,10,"akka, enne, isi, niin, piip, sees, siis, sus, tuut, utu"
30,Palkkatilankatu,7,"akka, ala, alla, niin, piip, tuut, utu"
31,Paulankatu,5,"akka, ala, alla, tuut, utu"
32,Pohjoinen Stadiontie,14,"ajaja, enne, hah, heh, isi, niin, oho, opo, otto, piip, pop, sadas, sees, siis"
33,Päivärinnankatu,5,"akka, niin, piip, tuut, utu"
34,Rajasaarenpenger,3,"ajaja, enne, sees"
35,Rajasaarentie,6,"ajaja, enne, isi, niin, sees, siis"
36,Reijolankatu,11,"ajaja, akka, ala, alla, ele, enne, niin, olo, otto, tuut, utu"
37,Ruusankatu,4,"akka, sus, tuut, utu"
38,Ruusulankatu,6,"akka, ala, alla, sus, tuut, utu"
39,Sallinkatu,9,"akka, ala, alla, isi, niin, siis, sus, tuut, utu"
40,Savilankatu,9,"akka, ala, alla, isi, niin, siis, sus, tuut, utu"
41,Seurasaarentie,8,"enne, isi, niin, sees, siis, sus, tuut, utu"
42,Seurasaari,4,"isi, sees, siis, sus"
43,Sibeliuksenkatu,12,"akka, ala, alla, ele, enne, isi, niin, sees, siis, sus, tuut, utu"
44,Stenbäckinkatu,10,"akka, enne, isi, niin, sees, siis, sus, tuut, utu, ässä"
45,Tahkontie,7,"akka, enne, hah, heh, niin, oho, otto"
46,Tallbonkuja,8,"ajaja, akka, ala, alla, olo, otto, tuut, utu"
47,Tamminiementie,3,"enne, imaami, niin"
48,Tavaststjernankatu,7,"ajaja, akka, enne, sees, sus, tuut, utu"
49,Toivonkatu,5,"akka, niin, otto, tuut, utu"
50,Topeliuksenkatu,17,"akka, ala, alla, ele, enne, isi, niin, olo, opo, otto, piip, pop, sees, siis, sus, tuut, utu"
51,Tukholmankatu,10,"akka, ala, alla, hah, huh, oho, olo, otto, tuut, utu"
52,Töölönkatu,6,"akka, ala, alla, tuut, tööt, utu"
53,Töölöntullinkatu,7,"akka, ala, alla, niin, tuut, tööt, utu"
54,Urheilukatu,9,"akka, ala, alla, ele, hah, heh, huh, tuut, utu"
55,Valhallankatu,7,"akka, ala, alla, hah, huh, tuut, utu"
56,Vauhtitie,5,"hah, heh, huh, tuut, utu"
57,Veturitie,2,"tuut, utu"
58,Zaidankatu,4,"akka, niin, tuut, utu"
59,Auroraporten,6,"enne, opo, otto, pop, tuut, utu"
60,Barnets Borgs väg,4,"enne, otto, sees, ässä"
61,Bjällbovägen,4,"ele, enne, olo, älä"
62,Eino Leinos gata,10,"ala, alla, ele, enne, isi, niin, olo, otto, sees, siis"
63,Ekuddsvägen,4,"enne, sees, sus, ässä"
64,Fartvägen,1,enne
65,Fölisön,3,"isi, niin, siis"
66,Fölisövägen,8,"ele, enne, isi, niin, sees, siis, älä, ässä"
67,Grejusgatan,6,"ajaja, enne, sees, sus, tuut, utu"
68,Hammarskjöldsvägen,15,"ajaja, akka, ala, alla, ele, enne, hah, heh, häh, sadas, sammas, sees, älä, ämmä, ässä"
69,Hindersnäsvägen,8,"enne, heh, häh, isi, niin, sees, siis, ässä"
